600000,  浦发银行,600000,  浦发银行,  1999-11-10,2161827.99,2051881.86,  
600004,  白云机场,600004,  白云机场,  2003-04-28,115006.45,115006.45,  
600006,  东风汽车,600006,  东风汽车,  1999-07-27,200000,200000,  
600007,  中国国贸,600007,  中国国贸,  1999-03-12,100728.25,100728.25,  
600008,  首创股份,600008,  首创股份,  2000-04-27,482061.41,482061.41,  
600009,  上海机场,600009,  上海机场,  1998-02-18,192695.84,109347.64,  
600010,  包钢股份,600010,  包钢股份,  2001-03-09,3256073.76,1574202.42,  
600011,  华能国际,600011,  华能国际,  2001-12-06,1520038.34,1520038.34,  
600012,  皖通高速,600012,  皖通高速,  2003-01-07,165861,165861,  
600015,  华夏银行,600015,  华夏银行,  2003-09-12,1068557.22,1068557.22,  
600016,  民生银行,600016,  民生银行,  2000-12-19,3648534.88,3648534.88,  
600017,  日照港,600017,  日照港,  2006-10-17,307565.39,307565.39,  
600018,  上港集团,600018,  上港集团,  2006-10-26,2317367.47,2275517.97,  
600019,  宝钢股份,600019,  宝钢股份,  2000-12-12,1645014.02,1642427.88,  
600020,  中原高速,600020,  中原高速,  2003-08-08,224737.18,224737.18,  
600021,  上海电力,600021,  上海电力,  2003-10-29,213973.93,213973.93,  
600022,  山东钢铁,600022,  山东钢铁,  2004-06-29,842042.28,822201.01,  
600023,  浙能电力,600023,  浙能电力,  2013-12-19,1360069,1360069,  
600026,  中远海能,600026,  中远海能,  2002-05-23,403203.29,403203.29,  
600027,  华电国际,600027,  华电国际,  2005-02-03,986297.67,850183.93,  
600028,  中国石化,600028,  中国石化,  2001-08-08,12107120.96,12107120.96,  
600029,  南方航空,600029,  南方航空,  2003-07-25,981756.7,981756.7,  
600030,  中信证券,600030,  中信证券,  2003-01-06,1211690.84,1209298.94,  
600031,  三一重工,600031,  三一重工,  2003-07-03,765794.63,759372.79,  
600033,  福建高速,600033,  福建高速,  2001-02-09,274440,274440,  
600035,  楚天高速,600035,  楚天高速,  2004-03-10,145337.79,145337.79,  
600036,  招商银行,600036,  招商银行,  2002-04-09,2521984.56,2521984.56,  
600037,  歌华有线,600037,  歌华有线,  2001-02-08,139177.79,116835.2,  
600038,  中直股份,600038,  中直股份,  2000-12-18,58947.67,58947.67,  
600039,  四川路桥,600039,  四川路桥,  2003-03-25,301973.27,301973.27,  
600048,  保利地产,600048,  保利地产,  2006-07-31,1185844.11,1075953.99,  
600050,  中国联通,600050,  中国联通,  2002-10-09,2119659.64,2119659.64,  
600051,  宁波联合,600051,  宁波联合,  1997-04-10,31088,30748.8,  
600052,  浙江广厦,600052,  浙江广厦,  1997-04-18,87178.91,87178.91,  
600053,  九鼎投资,600053,  九鼎投资,  1997-04-18,43354.08,43354.08,  
600054,  黄山旅游,600054,  黄山旅游,  1997-05-06,74730,74730,  
600055,  万东医疗,600055,  万东医疗,  1997-05-19,38629.73,34632,  
600056,  中国医药,600056,  中国医药,  1997-05-15,106848.55,101213.61,  
600057,  象屿股份,600057,  象屿股份,  1997-06-04,117077.94,110440.34,  
600058,  五矿发展,600058,  五矿发展,  1997-05-28,107191.07,107191.07,  
600059,  古越龙山,600059,  古越龙山,  1997-05-16,80852.42,80852.42,  
600060,  海信电器,600060,  海信电器,  1997-04-22,130848.12,130848.12,  
600061,  国投安信,600061,  国投安信,  1997-05-19,369415.17,196236.5,  
600062,  华润双鹤,600062,  华润双鹤,  1997-05-22,72447.06,57169.59,  
600063,  皖维高新,600063,  皖维高新,  1997-05-28,164589.47,152011.33,  
